Year,Month,tmax(degC),tmin(degC),ppt(mm),aet(mm)
1990,2,8.87,1.78,22.7,24
1990,3,10.96,3.11,25.1,37.6
1990,4,14.06,3.66,36.2,50.4
1990,5,20.84,8.6,22.9,39.5
1990,6,21.66,11.88,77.3,81.1
1990,7,22.82,12.36,48.3,50.3
1990,8,24.45,12.61,48.5,49
1990,9,15.86,8.06,59.4,52.8
1990,10,14,5.44,28.2,28.2
1990,11,6.73,2.18,42.2,14.9
1990,12,1.67,-2.48,38.5,1.3
1991,1,3.64,-1.69,18,5.9
1991,2,-0.44,-6.67,11.7,0
1991,3,9.3,1.68,23.1,33.7
1991,4,13.63,3.27,39.6,53.2
1991,5,14.99,5.76,48.9,64.9
1991,6,19.87,10.02,89.4,91.7
1991,7,25.69,14.43,34.1,49.8
1991,8,23.29,13.39,44.7,50.1
1991,9,20.23,9.79,28,31
1991,10,12.5,3.91,24.7,25.2
1991,11,6.17,1.33,37.9,13.8
1991,12,2.18,-3.06,42.5,1
1992,1,2.94,-2.53,22.1,2.6
1992,2,5.12,-0.34,27.4,13.6
1992,3,7.93,0.44,76.1,36.4
1992,4,13.87,3.82,19.5,51.7
1992,5,20.78,8.81,28.7,63.5
1992,6,25.88,13.32,14.9,24.9
1992,7,26.46,14.53,34.3,38.2
1992,8,26.12,14.72,50.8,51.8
1992,9,18.45,8.92,24.3,25.5
1992,10,9.92,2.09,24.9,24.7
1992,11,6.78,1.69,39.8,16.8
1992,12,1.54,-2.94,31.6,0.5
1993,1,4.1,-2.06,49.8,7.1
1993,2,1.82,-3.34,28.1,0.9
1993,3,6.54,-0.98,24.3,30.8
1993,4,16.31,5.11,13.6,57.7
1993,5,22.75,10.26,49.9,77.9
1993,6,20.93,11.03,81.3,87.2
1993,7,21.66,12.11,120.9,112.9
1993,8,21.27,11.42,59.4,62.7
1993,9,16.57,8.42,63.4,53.7
1993,10,11.9,4.29,23.8,24.2
1993,11,1.77,-2.68,28.9,1.6
1993,12,4.17,-0.41,81.1,9
1994,1,4.78,0.16,55.8,13.9
1994,2,1.02,-4.91,15.7,0.5
1994,3,8.43,1.4,73.3,37.5
1994,4,14.71,4.44,44.1,59.3
1994,5,18.62,7.67,51.8,77.4
1994,6,21.6,11.08,35.9,60.4
1994,7,28.92,16.07,34.4,42.1
1994,8,23.96,13.28,61.7,63.7
1994,9,17.87,10.15,64.2,54
1994,10,11.06,2.91,26.6,26.9
1994,11,8.04,2.64,30,21.4
1994,12,4.43,-0.39,54.1,9.6
1995,1,2.27,-3.28,39.4,1.3
1995,2,6.9,0.74,37.4,20.1
1995,3,6.88,-0.84,39.9,33.4
1995,4,13.61,4.16,27.5,54.7
1995,5,18.62,7.67,56.3,80
1995,6,20.8,11.09,84.1,88.1
1995,7,27.06,15.19,37.9,50.2
1995,8,25.3,13.04,67.9,71.3
1995,9,17.44,9.15,61.8,51.4
1995,10,15.25,7.05,13.1,16.6
1995,11,4.19,-1.48,28.4,9.4
1995,12,-2.23,-6.97,21.1,0
1996,1,-2.56,-7.49,5.5,0
1996,2,-0.9,-7.52,27.2,0
1996,3,3.11,-4.23,12.3,2.9
1996,4,15.22,3.11,19.3,74.9
1996,5,17.18,7.99,71.7,72.7
1996,6,21.67,11.55,41.8,53.1
1996,7,21.36,11.59,155.1,106.9
1996,8,23.77,12.78,70,81.5
1996,9,14.9,6.9,54.1,50.5
1996,10,13.22,5.7,31.7,27.4
1996,11,7.28,2.52,21.4,14.7
1996,12,-1.92,-7.06,10.3,0
1997,1,-0.8,-6.51,4,0
1997,2,6.09,-0.14,40.8,19.3
1997,3,8.2,0.02,25,34
1997,4,11.27,1.6,39.8,54.7
1997,5,18.93,8.05,64.5,81.1
1997,6,22.85,11.64,70.3,84.8
1997,7,23.67,13.18,149.3,108.5
1997,8,26.5,13.91,40.3,67.4
1997,9,18.95,8.72,35.4,43.2
1997,10,11.03,3.51,51.7,33.1
1997,11,5.34,0.38,18,10
1997,12,2.89,-1.46,36.9,3.6
1998,1,4.42,-1.05,42.9,6.8
1998,2,7.36,1.47,30.8,21.3
1998,3,7.37,-0.47,50.5,40.9
1998,4,15.5,5.7,46.4,59.9
1998,5,20.79,9.27,37.4,81
1998,6,22.66,12.62,67.2,79.1
1998,7,22.48,12.79,69.4,73
1998,8,21.61,11.9,68.9,69.6
1998,9,18,9.52,65.6,56.3
1998,10,11.4,4.94,71.1,37.5
1998,11,2.67,-1.97,38.9,4
1998,12,1.67,-3.48,38.5,0.7
1999,1,4.26,-1.5,32.8,7.7
1999,2,2.59,-3.02,36.1,2
1999,3,8.62,0.87,51.3,33.3
1999,4,14.95,5.03,58.4,62.2
1999,5,19.79,8.22,50.3,88.8
1999,6,21.88,11.39,72.7,80.3
1999,7,25.86,14.9,51.6,66.3
1999,8,23.7,12.3,32,38
1999,9,22.85,11.52,35.3,37.9
1999,10,12.45,5.21,34.7,33.6
1999,11,5.6,0.46,27.6,11.5
1999,12,3.31,-1.3,46.5,6.7
2000,1,2.63,-2.76,36,2
2000,2,6.06,0.2,38.3,18
2000,3,7.59,0.9,72.2,34.2
2000,4,17.72,6.4,18.9,58.7
2000,5,22.44,9.46,47.9,75.4
2000,6,23.65,12.43,42.1,49.9
2000,7,21.03,12.09,116.9,91.9
2000,8,23.67,12.7,66.7,76.6
2000,9,18.15,8.35,48.8,50.6
2000,10,15.3,7.91,19.5,22.4
2000,11,8.92,3.54,39.1,15.2
2000,12,3.91,-0.73,40.1,5.9
2001,1,2.28,-2.28,21.6,1.3
2001,2,4.05,-2.8,22.4,5
2001,3,5.89,-0.95,49.2,26
2001,4,13.13,3.64,45.6,54
2001,5,20.56,9.15,32.9,83.3
2001,6,20.19,10.38,74.2,81.3
2001,7,25.68,14.31,112.8,110.1
2001,8,24.74,13.9,49,55.4
2001,9,16.09,8.64,109,47.7
2001,10,15.81,8.38,21.4,27.9
2001,11,5.98,0.61,29.3,19.9
2001,12,0.5,-4.37,40.9,0.5
2002,1,3.57,-2.04,36.7,3.4
2002,2,7.36,1.19,57.4,22.4
2002,3,8.48,0.88,42.4,39.9
2002,4,14.1,3.87,32.7,53
2002,5,21.69,10.77,57.2,81.4
2002,6,23.2,12.79,46,67.2
2002,7,25.22,14.66,64.8,70.5
2002,8,26.58,15.06,75.4,76.6
2002,9,19.11,9.11,39,40.3
2002,10,11.15,3.97,81.4,33
2002,11,6.52,1.24,46.8,13.6
2002,12,-1.53,-6.35,12.9,0
2003,1,1.16,-4.6,43.3,0.3
2003,2,0.33,-6.92,4.9,0
2003,3,7.64,-1.34,17.5,33.3
2003,4,14.53,2.95,19.8,60.1
2003,5,21.66,9.87,28.5,59.3
2003,6,25.36,13.63,31.1,39.8
2003,7,25.48,14.63,105.4,104.7
2003,8,25.92,14.15,20.6,23.3
2003,9,20.31,9,31.8,32.7
2003,10,9.44,1.89,37.5,28.5
2003,11,8.22,2.77,21.2,11.7
2003,12,3.7,-1.56,37,6.2
2004,1,-0.32,-5.93,44.2,0
2004,2,4.41,-1.54,32.5,9.9
2004,3,8.16,0.36,30.5,35.6
